UserID,ProductID,ProductName,Brand,Category,Price,Rating,Color,Size
19,1,Dress,Adidas,Men's Fashion,40,1.043159211,Black,XL
97,2,Shoes,H&M,Women's Fashion,82,4.026416271,Black,L
25,3,Dress,Adidas,Women's Fashion,44,3.337937559,Yellow,XL
57,4,Shoes,Zara,Men's Fashion,23,1.049522956,White,S
79,5,T-shirt,Adidas,Men's Fashion,79,4.302773408,Black,M
98,6,Dress,Adidas,Men's Fashion,47,1.37956574,Yellow,L
16,7,Jeans,Gucci,Men's Fashion,37,1.356750375,White,XL
63,8,Sweater,Zara,Kids' Fashion,64,4.360303289,Blue,XL
96,9,Sweater,H&M,Men's Fashion,53,4.466181876,Green,XL
36,10,T-shirt,Zara,Kids' Fashion,55,4.093234402,White,XL
69,11,T-shirt,Adidas,Men's Fashion,51,1.160987957,Red,S
87,12,Sweater,Gucci,Kids' Fashion,91,2.699735538,Yellow,M
9,13,Jeans,Nike,Kids' Fashion,35,1.60119358,Red,M
50,14,Dress,Zara,Women's Fashion,34,2.921004204,White,L
31,15,Shoes,Zara,Men's Fashion,54,3.670412239,Yellow,M
37,16,Dress,Adidas,Women's Fashion,27,1.422716143,Blue,S
41,17,Dress,Gucci,Women's Fashion,75,1.480632132,Blue,XL
15,18,Jeans,Gucci,Women's Fashion,73,4.498244681,Red,XL
84,19,Shoes,Gucci,Women's Fashion,54,3.278340556,White,M
56,20,Dress,Gucci,Men's Fashion,53,3.785245245,Green,L
87,21,Jeans,H&M,Men's Fashion,56,2.609587353,Yellow,S
56,22,Jeans,Gucci,Women's Fashion,89,4.568632343,Green,L
60,23,Jeans,Zara,Kids' Fashion,91,4.072724797,Yellow,M
64,24,Jeans,Zara,Women's Fashion,15,2.499756274,Yellow,XL
65,25,Sweater,H&M,Kids' Fashion,38,1.020492671,Green,S
26,26,Dress,Gucci,Women's Fashion,21,4.748169005,Green,S
82,27,T-shirt,Adidas,Kids' Fashion,72,3.301743408,Red,L
87,28,Shoes,Zara,Women's Fashion,32,2.82280286,Yellow,L
98,29,Shoes,Gucci,Women's Fashion,85,4.940985221,Yellow,M
20,30,Sweater,Nike,Kids' Fashion,99,3.110113573,Green,XL
36,31,Jeans,H&M,Kids' Fashion,37,2.755187149,Blue,S
